,entryId,4161,4160,4168,4169,4170,4174,4175,4176,4173,4172,4171,4167,4166,4165,4159,4164,4163,4162
0,36946,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,5.0
1,36944,2.0,2.0,2.0,2.0,22.0,1.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,6.0,7.0,3.0
2,36943,3.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0
3,36945,4.0,10.0,8.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,7.0,5.0,6.0,5.0,6.0,4.0,2.0,22.0
4,36941,5.0,5.0,3.0,6.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0
5,36942,6.0,3.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,7.0,7.0,8.0,9.0,12.0,2.0
6,36949,7.0,7.0,6.0,8.0,43.0,57.0,61.0,54.0,8.0,71.0,70.0,69.0,67.0,65.0,39.0,5.0,,
7,36948,8.0,8.0,9.0,9.0,5.0,8.0,8.0,6.0,7.0,5.0,6.0,13.0,5.0,6.0,7.0,7.0,5.0,6.0
8,36947,9.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,5.0,8.0,6.0,7.0
9,36955,10.0,9.0,12.0,11.0,8.0,10.0,10.0,13.0,10.0,13.0,9.0,11.0,12.0,20.0,11.0,11.0,9.0,10.0
10,36953,11.0,12.0,15.0,14.0,10.0,15.0,13.0,12.0,15.0,14.0,15.0,12.0,13.0,13.0,12.0,68.0,11.0,11.0
11,36964,12.0,13.0,18.0,16.0,12.0,14.0,12.0,11.0,13.0,10.0,13.0,14.0,10.0,12.0,14.0,16.0,13.0,14.0
12,36952,13.0,11.0,11.0,12.0,11.0,11.0,11.0,14.0,12.0,11.0,12.0,10.0,15.0,16.0,9.0,10.0,10.0,9.0
13,36954,14.0,34.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,37.0,8.0,9.0,9.0,10.0,12.0,8.0,8.0
14,36958,15.0,18.0,16.0,13.0,14.0,12.0,23.0,10.0,16.0,12.0,10.0,9.0,11.0,8.0,13.0,14.0,14.0,13.0
15,36951,16.0,14.0,19.0,15.0,13.0,17.0,14.0,16.0,18.0,15.0,11.0,15.0,14.0,11.0,16.0,17.0,19.0,12.0
16,36959,17.0,15.0,14.0,18.0,16.0,16.0,16.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,15.0,15.0
17,36981,18.0,21.0,23.0,24.0,25.0,23.0,24.0,26.0,24.0,24.0,22.0,25.0,24.0,22.0,18.0,21.0,23.0,23.0
18,36957,19.0,17.0,13.0,17.0,23.0,13.0,15.0,15.0,14.0,16.0,14.0,16.0,16.0,40.0,15.0,15.0,16.0,18.0
19,36965,20.0,23.0,17.0,19.0,17.0,18.0,19.0,19.0,20.0,62.0,18.0,18.0,18.0,14.0,20.0,13.0,17.0,17.0
20,36967,21.0,16.0,21.0,23.0,20.0,20.0,21.0,22.0,22.0,20.0,19.0,20.0,21.0,19.0,23.0,20.0,21.0,20.0
21,36966,22.0,24.0,29.0,28.0,26.0,26.0,25.0,24.0,27.0,22.0,21.0,23.0,23.0,21.0,26.0,22.0,25.0,24.0
22,36962,23.0,22.0,22.0,22.0,18.0,22.0,20.0,21.0,21.0,72.0,71.0,70.0,68.0,66.0,19.0,19.0,20.0,16.0
