,entryId,4429,4430,4432,4433,4434,4436,4437,4438,4439,4445,4444,4443,4442,4441,4440,4435,4431,4428
0,37207,1,8,1,2,9,4,6,1,2,2,1,1,3,5,4.0,1.0,3.0,3.0
1,37208,2,2,4,3,4,3,1,2,6,4,3,2,2,3,5.0,2.0,4.0,4.0
2,37210,3,6,7,6,5,2,4,5,4,5,6,14,5,6,6.0,7.0,7.0,2.0
3,37213,4,3,2,5,3,6,2,3,5,6,4,4,48,2,2.0,5.0,6.0,1.0
4,37209,5,5,6,7,6,5,5,4,1,3,2,3,1,1,1.0,3.0,1.0,6.0
5,37211,6,4,3,1,21,47,45,44,7,7,5,6,6,8,3.0,6.0,5.0,
6,37212,7,1,5,4,1,1,3,6,3,1,7,5,4,4,8.0,4.0,2.0,5.0
7,37214,8,7,8,8,2,7,7,20,8,8,8,7,7,7,7.0,8.0,8.0,42.0
8,37220,9,12,15,15,13,16,16,11,12,17,12,49,15,48,48.0,17.0,,
9,37217,10,14,11,17,19,9,13,10,10,9,9,11,9,18,12.0,9.0,10.0,10.0
10,37216,11,13,9,11,7,11,9,7,9,12,11,13,8,9,9.0,10.0,17.0,7.0
11,37218,12,9,48,16,8,14,10,12,16,11,20,9,14,19,14.0,18.0,13.0,8.0
12,37224,13,11,16,10,12,8,8,16,13,23,13,12,12,10,11.0,16.0,9.0,15.0
13,37219,14,10,13,13,45,12,12,8,14,13,15,16,18,16,10.0,12.0,12.0,13.0
14,37223,15,18,12,14,14,13,17,21,20,14,14,10,11,15,15.0,14.0,14.0,12.0
15,37228,16,23,22,22,15,17,22,15,18,21,21,17,21,40,22.0,19.0,20.0,18.0
16,37227,17,16,14,18,33,15,20,13,17,16,22,19,13,13,13.0,11.0,18.0,17.0
17,37215,18,15,10,9,10,43,11,39,11,15,10,8,10,17,21.0,15.0,19.0,9.0
18,37226,19,22,18,21,16,10,18,14,21,20,19,18,20,20,20.0,22.0,22.0,19.0
19,37222,20,17,17,12,34,44,14,9,15,10,17,15,17,14,17.0,13.0,16.0,44.0
20,37229,21,19,19,23,18,20,19,18,42,22,23,21,19,21,18.0,48.0,21.0,14.0
21,37221,22,21,20,19,17,18,15,17,19,18,16,20,16,12,19.0,21.0,11.0,11.0
22,37225,23,20,21,20,11,19,21,19,22,19,18,22,22,11,16.0,20.0,15.0,16.0
23,37235,24,24,23,26,23,21,23,22,23,51,51,51,50,50,,,,
24,37242,25,26,26,27,27,25,28,23,30,27,26,31,41,27,26.0,23.0,24.0,23.0
25,37241,26,27,25,25,26,23,31,27,25,29,25,25,29,24,24.0,29.0,30.0,21.0
26,37231,27,25,24,24,22,22,24,28,24,24,24,23,23,22,23.0,28.0,23.0,20.0
27,37246,28,30,34,36,25,31,33,24,33,34,32,33,32,30,27.0,31.0,33.0,29.0
28,37247,29,38,28,29,51,32,30,26,31,30,31,30,28,31,32.0,26.0,27.0,34.0
29,37230,30,29,33,32,20,24,25,45,32,31,27,26,31,25,30.0,45.0,29.0,43.0
30,37245,31,33,30,28,29,49,49,49,29,26,28,27,25,26,29.0,27.0,28.0,26.0
31,37232,32,36,35,38,28,29,32,42,36,38,36,29,49,49,49.0,,,
32,37243,33,31,27,34,32,26,29,30,27,25,29,48,27,29,28.0,25.0,25.0,24.0
33,37248,34,34,41,33,35,51,48,47,37,35,37,32,40,33,36.0,,,
34,37249,35,43,51,51,50,50,50,50,35,36,39,35,37,34,35.0,34.0,31.0,25.0
35,37244,36,28,31,31,24,28,27,29,28,28,30,28,30,23,25.0,24.0,26.0,22.0
36,37238,37,32,32,35,30,33,35,25,34,33,33,50,26,37,41.0,33.0,35.0,30.0
37,37234,38,37,36,37,31,30,34,41,49,37,38,36,44,38,39.0,39.0,,
38,37251,39,46,49,43,38,34,37,32,41,44,40,38,35,32,33.0,35.0,36.0,45.0
39,37237,40,47,38,39,39,40,46,46,47,47,45,44,42,44,38.0,42.0,40.0,32.0
40,37253,41,50,46,48,46,42,42,40,50,48,48,46,45,45,47.0,44.0,43.0,35.0
41,37240,42,35,29,30,48,27,26,31,26,32,34,24,24,28,31.0,30.0,32.0,27.0
42,37254,43,39,50,50,49,48,47,48,44,46,47,42,36,43,40.0,38.0,41.0,31.0
43,37252,44,40,43,45,37,38,40,34,38,40,43,37,39,39,37.0,40.0,39.0,33.0
44,37239,45,49,45,47,41,45,43,43,48,49,50,45,46,46,46.0,47.0,44.0,38.0
45,37236,46,51,47,49,44,46,44,35,51,50,49,47,47,47,45.0,46.0,45.0,39.0
46,37257,47,48,44,46,47,41,41,38,46,43,44,43,38,41,42.0,37.0,46.0,40.0
47,37255,48,44,39,42,42,39,38,37,43,42,42,39,51,51,50.0,36.0,37.0,37.0
48,37256,49,45,37,40,43,36,39,36,39,41,46,40,34,42,44.0,43.0,42.0,41.0
49,37258,50,41,40,41,40,37,51,51,45,45,41,41,43,35,43.0,41.0,38.0,36.0
50,37250,51,42,42,44,36,35,36,33,40,39,35,34,33,36,34.0,32.0,34.0,28.0
