,driver,codriver,manufacturer,entrant,group,eventClasses,tags,entryId,eventId,driverId,codriverId,manufacturerId,entrantId,groupId,identifier,vehicleModel,entryListOrder,pbf,drive,eligibility,priority,status,tyreManufacturer
13,"{'personId': 1250, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Jari', 'lastName': 'HUTTUNEN', 'abbvName': 'J. HUTTUNEN', 'fullName': 'Jari HUTTUNEN', 'code': 'HUT', 'licenseNumber': None}","{'personId': 1251, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Antti', 'lastName': 'LINNAKETO', 'abbvName': 'A. LINNAKETO', 'fullName': 'Antti LINNAKETO', 'code': 'LIN', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1012, 'name': 'JARI HUTTUNEN', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37220,354,1250,1251,77,1012,98,24,Fabia,14,,,WRC2 (D/C),P2,Retired,None
14,"{'personId': 5155, 'countryId': 70, 'country': {'countryId': 70, 'name': 'Estonia', 'iso2': 'EE', 'iso3': 'EST'}, 'firstName': 'Georg', 'lastName': 'LINNAMÄE', 'abbvName': 'G. LINNAMÄE', 'fullName': 'Georg LINNAMÄE', 'code': 'LNM', 'licenseNumber': None}","{'personId': 4080, 'countryId': 235, 'country': {'countryId': 235, 'name': 'United Kingdom of Great Britain and Northern Ireland', 'iso2': 'GB', 'iso3': 'GBR'}, 'firstName': 'James', 'lastName': 'MORGAN', 'abbvName': 'J. MORGAN', 'fullName': 'James MORGAN', 'code': 'MOR', 'licenseNumber': None}","{'manufacturerId': 33, 'name': 'Hyundai', 'logoFilename': 'hyundai'}","{'entrantId': 1436, 'name': 'GEORG LINNAMÄE', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37221,354,5155,4080,33,1436,98,25,i20 N,15,,,WRC2 (DC/CC),P2,Entry,None
15,"{'personId': 5609, 'countryId': 70, 'country': {'countryId': 70, 'name': 'Estonia', 'iso2': 'EE', 'iso3': 'EST'}, 'firstName': 'Egon', 'lastName': 'KAUR', 'abbvName': 'E. KAUR', 'fullName': 'Egon KAUR', 'code': 'KAU', 'licenseNumber': None}","{'personId': 5628, 'countryId': 70, 'country': {'countryId': 70, 'name': 'Estonia', 'iso2': 'EE', 'iso3': 'EST'}, 'firstName': 'Jakko', 'lastName': 'VIILO', 'abbvName': 'J. VIILO', 'fullName': 'Jakko VIILO', 'code': 'VII', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1611, 'name': 'EGON KAUR', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37222,354,5609,5628,77,1611,98,26,Fabia Evo,16,,,WRC2 (DC/CC),P2,Entry,None
16,"{'personId': 4759, 'countryId': 292, 'country': {'countryId': 292, 'name': 'ANA', 'iso2': 'AA', 'iso3': 'ANA'}, 'firstName': 'Nikolay', 'lastName': 'GRYAZIN', 'abbvName': 'N. GRYAZIN', 'fullName': 'Nikolay GRYAZIN', 'code': 'GRY', 'licenseNumber': None}","{'personId': 5634, 'countryId': 292, 'country': {'countryId': 292, 'name': 'ANA', 'iso2': 'AA', 'iso3': 'ANA'}, 'firstName': 'Konstantin', 'lastName': 'ALEKSANDROV', 'abbvName': 'K. ALEKSANDROV', 'fullName': 'Konstantin ALEKSANDROV', 'code': 'ALE', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1845, 'name': 'TOKSPORT WRT 2', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37223,354,4759,5634,77,1845,98,27,Fabia RS,17,,,,P2,Entry,None
17,"{'personId': 5280, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Sami', 'lastName': 'PAJARI', 'abbvName': 'S. PAJARI', 'fullName': 'Sami PAJARI', 'code': 'PAJ', 'licenseNumber': None}","{'personId': 3052, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Enni', 'lastName': 'MÄLKÖNEN', 'abbvName': 'E. MÄLKÖNEN', 'fullName': 'Enni MÄLKÖNEN', 'code': 'MAL', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 186, 'name': 'TOKSPORT WRT', 'logoFilename': None}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37224,354,5280,3052,77,186,98,28,Fabia RS,18,,,WRC2 (T/DC/CC),P2,Entry,None
18,"{'personId': 5619, 'countryId': 70, 'country': {'countryId': 70, 'name': 'Estonia', 'iso2': 'EE', 'iso3': 'EST'}, 'firstName': 'Robert', 'lastName': 'VIRVES', 'abbvName': 'R. VIRVES', 'fullName': 'Robert VIRVES', 'code': 'VIR', 'licenseNumber': None}","{'personId': 2127, 'countryId': 178, 'country': {'countryId': 178, 'name': 'Portugal', 'iso2': 'PT', 'iso3': 'PRT'}, 'firstName': 'Hugo', 'lastName': 'MAGALHÃES', 'abbvName': 'H. MAGALHÃES', 'fullName': 'Hugo MAGALHÃES', 'code': 'MAG', 'licenseNumber': None}","{'manufacturerId': 26, 'name': 'Ford', 'logoFilename': 'ford'}","{'entrantId': 94, 'name': 'M-SPORT FORD WORLD RALLY TEAM', 'logoFilename': None}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37225,354,5619,2127,26,94,98,29,Fiesta MkII,19,,,WRC2 (DC/CC),P2,Entry,None
19,"{'personId': 5295, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Lauri', 'lastName': 'JOONA', 'abbvName': 'L. JOONA', 'fullName': 'Lauri JOONA', 'code': 'JOO', 'licenseNumber': None}","{'personId': 10876, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Tuukka', 'lastName': 'SHEMEIKKA', 'abbvName': 'T. SHEMEIKKA', 'fullName': 'Tuukka SHEMEIKKA', 'code': 'SHE', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1257, 'name': 'LAURI JOONA', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37226,354,5295,10876,77,1257,98,30,Fabia Evo,20,,,WRC2 (DC/CC),P2,Entry,None
20,"{'personId': 1253, 'countryId': 27, 'country': {'countryId': 27, 'name': 'Bolivia (Plurinational State of)', 'iso2': 'BO', 'iso3': 'BOL'}, 'firstName': 'Marco', 'lastName': 'BULACIA', 'abbvName': 'M. BULACIA', 'fullName': 'Marco BULACIA', 'code': 'MBU', 'licenseNumber': None}","{'personId': 7290, 'countryId': 209, 'country': {'countryId': 209, 'name': 'Spain', 'iso2': 'ES', 'iso3': 'ESP'}, 'firstName': 'Diego', 'lastName': 'VALLEJO', 'abbvName': 'D. VALLEJO', 'fullName': 'Diego VALLEJO', 'code': 'VAL', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1845, 'name': 'TOKSPORT WRT 2', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37227,354,1253,7290,77,1845,98,31,Fabia RS,21,,,WRC2 (DC/CC),P2,Entry,None
21,"{'personId': 8783, 'countryId': 27, 'country': {'countryId': 27, 'name': 'Bolivia (Plurinational State of)', 'iso2': 'BO', 'iso3': 'BOL'}, 'firstName': 'Bruno', 'lastName': 'BULACIA', 'abbvName': 'B. BULACIA', 'fullName': 'Bruno BULACIA', 'code': 'BBU', 'licenseNumber': None}","{'personId': 10317, 'countryId': 209, 'country': {'countryId': 209, 'name': 'Spain', 'iso2': 'ES', 'iso3': 'ESP'}, 'firstName': 'Axel', 'lastName': 'CORONADO', 'abbvName': 'A. CORONADO', 'fullName': 'Axel CORONADO', 'code': 'COR', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1898, 'name': 'BRUNO BULACIA', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37228,354,8783,10317,77,1898,98,32,Fabia Evo,22,,,WRC2 (DC/CC),P2,Entry,None
22,"{'personId': 4776, 'countryId': 173, 'country': {'countryId': 173, 'name': 'Paraguay', 'iso2': 'PY', 'iso3': 'PRY'}, 'firstName': 'Fabrizio', 'lastName': 'ZALDIVAR', 'abbvName': 'F. ZALDIVAR', 'fullName': 'Fabrizio ZALDIVAR', 'code': 'ZAL', 'licenseNumber': None}","{'personId': 11234, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Marcelo', 'lastName': 'DER OHANNESIAN', 'abbvName': 'M. DER OHANNESIAN', 'fullName': 'Marcelo DER OHANNESIAN', 'code': 'DER', 'licenseNumber': None}","{'manufacturerId': 33, 'name': 'Hyundai', 'logoFilename': 'hyundai'}","{'entrantId': 1357, 'name': 'HYUNDAI MOTORSPORT N', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37229,354,4776,11234,33,1357,98,34,i20 N,23,,,WRC2 (T/DC/CC),P2,Entry,None
23,"{'personId': 6112, 'countryId': 195, 'country': {'countryId': 195, 'name': 'Saudi Arabia', 'iso2': 'SA', 'iso3': 'SAU'}, 'firstName': 'Rakan', 'lastName': 'AL-RASHED', 'abbvName': 'R. AL-RASHED', 'fullName': 'Rakan AL-RASHED', 'code': 'AL-', 'licenseNumber': None}","{'personId': 5606, 'countryId': 14, 'country': {'countryId': 14, 'name': 'Australia', 'iso2': 'AU', 'iso3': 'AUS'}, 'firstName': 'Dale', 'lastName': 'MOSCATT', 'abbvName': 'D. MOSCATT', 'fullName': 'Dale MOSCATT', 'code': 'MOS', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1577, 'name': 'RAKAN AL-RASHED', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37230,354,6112,5606,77,1577,98,35,Fabia RS,24,,,WRC2 (DC/CC),P2,Rejoined,None
24,"{'personId': 5567, 'countryId': 177, 'country': {'countryId': 177, 'name': 'Poland', 'iso2': 'PL', 'iso3': 'POL'}, 'firstName': 'Michal', 'lastName': 'SOLOWOW', 'abbvName': 'M. SOLOWOW', 'fullName': 'Michal SOLOWOW', 'code': 'SOW', 'licenseNumber': None}","{'personId': 5568, 'countryId': 177, 'country': {'countryId': 177, 'name': 'Poland', 'iso2': 'PL', 'iso3': 'POL'}, 'firstName': 'Maciek', 'lastName': 'BARAN', 'abbvName': 'M. BARAN', 'fullName': 'Maciek BARAN', 'code': 'BAR', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1578, 'name': 'MICHAL SOLOWOW', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37231,354,5567,5568,77,1578,98,36,Fabia RS,25,,,WRC2 (DM/C),P2,Entry,None
25,"{'personId': 1824, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Mauro', 'lastName': 'MIELE', 'abbvName': 'M. MIELE', 'fullName': 'Mauro MIELE', 'code': 'MIE', 'licenseNumber': None}","{'personId': 1825, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Luca', 'lastName': 'BELTRAME', 'abbvName': 'L. BELTRAME', 'fullName': 'Luca BELTRAME', 'code': 'BEL', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 378, 'name': 'MAURO MIELE', 'logoFilename': None}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37232,354,1824,1825,77,378,98,38,Fabia Evo,26,,,WRC2 (DCM/CC),P2,Retired,None
26,"{'personId': 5466, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Fabrizio', 'lastName': 'ARENGI', 'abbvName': 'F. ARENGI', 'fullName': 'Fabrizio ARENGI', 'code': 'ARE', 'licenseNumber': None}","{'personId': 5219, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Massimiliano', 'lastName': 'BOSI', 'abbvName': 'M. BOSI', 'fullName': 'Massimiliano BOSI', 'code': 'BOS', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1337, 'name': 'FABRIZIO ARENGI', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37233,354,5466,5219,77,1337,98,39,Fabia Evo,27,,,WRC2 (DCM/CC),P2,NotAuthorised,None
