,driver,codriver,manufacturer,entrant,group,eventClasses,tags,entryId,eventId,driverId,codriverId,manufacturerId,entrantId,groupId,identifier,vehicleModel,entryListOrder,pbf,drive,eligibility,priority,status,tyreManufacturer
0,"{'personId': 700, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Kalle', 'lastName': 'ROVANPERÄ', 'abbvName': 'K. ROVANPERÄ', 'fullName': 'Kalle ROVANPERÄ', 'code': 'ROV', 'licenseNumber': None}","{'personId': 587, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Jonne', 'lastName': 'HALTTUNEN', 'abbvName': 'J. HALTTUNEN', 'fullName': 'Jonne HALTTUNEN', 'code': 'HAL', 'licenseNumber': None}","{'manufacturerId': 84, 'name': 'Toyota', 'logoFilename': 'toyota'}","{'entrantId': 91, 'name': 'TOYOTA GAZOO RACING WRT', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37207,354,700,587,84,91,152,69,GR Yaris Rally1 HYBRID,1,,,M,P1,Entry,None
1,"{'personId': 524, 'countryId': 70, 'country': {'countryId': 70, 'name': 'Estonia', 'iso2': 'EE', 'iso3': 'EST'}, 'firstName': 'Ott', 'lastName': 'TÄNAK', 'abbvName': 'O. TÄNAK', 'fullName': 'Ott TÄNAK', 'code': 'TÄN', 'licenseNumber': None}","{'personId': 525, 'countryId': 70, 'country': {'countryId': 70, 'name': 'Estonia', 'iso2': 'EE', 'iso3': 'EST'}, 'firstName': 'Martin', 'lastName': 'JÄRVEOJA', 'abbvName': 'M. JÄRVEOJA', 'fullName': 'Martin JÄRVEOJA', 'code': 'JAR', 'licenseNumber': None}","{'manufacturerId': 26, 'name': 'Ford', 'logoFilename': 'ford'}","{'entrantId': 94, 'name': 'M-SPORT FORD WORLD RALLY TEAM', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37208,354,524,525,26,94,152,8,Puma Rally1 HYBRID,2,,,M,P1,Entry,None
2,"{'personId': 762, 'countryId': 22, 'country': {'countryId': 22, 'name': 'Belgium', 'iso2': 'BE', 'iso3': 'BEL'}, 'firstName': 'Thierry', 'lastName': 'NEUVILLE', 'abbvName': 'T. NEUVILLE', 'fullName': 'Thierry NEUVILLE', 'code': 'NEU', 'licenseNumber': None}","{'personId': 851, 'countryId': 22, 'country': {'countryId': 22, 'name': 'Belgium', 'iso2': 'BE', 'iso3': 'BEL'}, 'firstName': 'Martijn', 'lastName': 'WYDAEGHE', 'abbvName': 'M. WYDAEGHE', 'fullName': 'Martijn WYDAEGHE', 'code': 'WYD', 'licenseNumber': None}","{'manufacturerId': 33, 'name': 'Hyundai', 'logoFilename': 'hyundai'}","{'entrantId': 166, 'name': 'HYUNDAI SHELL MOBIS WORLD RALLY TEAM', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37209,354,762,851,33,166,152,11,i20 N Rally1 HYBRID,3,,,M,P1,Entry,None
3,"{'personId': 534, 'countryId': 235, 'country': {'countryId': 235, 'name': 'United Kingdom of Great Britain and Northern Ireland', 'iso2': 'GB', 'iso3': 'GBR'}, 'firstName': 'Elfyn', 'lastName': 'EVANS', 'abbvName': 'E. EVANS', 'fullName': 'Elfyn EVANS', 'code': 'EVA', 'licenseNumber': None}","{'personId': 553, 'countryId': 235, 'country': {'countryId': 235, 'name': 'United Kingdom of Great Britain and Northern Ireland', 'iso2': 'GB', 'iso3': 'GBR'}, 'firstName': 'Scott', 'lastName': 'MARTIN', 'abbvName': 'S. MARTIN', 'fullName': 'Scott MARTIN', 'code': 'MAR', 'licenseNumber': None}","{'manufacturerId': 84, 'name': 'Toyota', 'logoFilename': 'toyota'}","{'entrantId': 91, 'name': 'TOYOTA GAZOO RACING WRT', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37210,354,534,553,84,91,152,33,GR Yaris Rally1 HYBRID,4,,,M,P1,Entry,None
4,"{'personId': 785, 'countryId': 112, 'country': {'countryId': 112, 'name': 'Japan', 'iso2': 'JP', 'iso3': 'JPN'}, 'firstName': 'Takamoto', 'lastName': 'KATSUTA', 'abbvName': 'T. KATSUTA', 'fullName': 'Takamoto KATSUTA', 'code': 'KAT', 'licenseNumber': None}","{'personId': 5507, 'countryId': 107, 'country': {'countryId': 107, 'name': 'Ireland', 'iso2': 'IE', 'iso3': 'IRL'}, 'firstName': 'Aaron', 'lastName': 'JOHNSTON', 'abbvName': 'A. JOHNSTON', 'fullName': 'Aaron JOHNSTON', 'code': 'JOH', 'licenseNumber': None}","{'manufacturerId': 84, 'name': 'Toyota', 'logoFilename': 'toyota'}","{'entrantId': 91, 'name': 'TOYOTA GAZOO RACING WRT', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37211,354,785,5507,84,91,152,18,GR Yaris Rally1 HYBRID,5,,,M,P1,Retired,None
5,"{'personId': 552, 'countryId': 107, 'country': {'countryId': 107, 'name': 'Ireland', 'iso2': 'IE', 'iso3': 'IRL'}, 'firstName': 'Craig', 'lastName': 'BREEN', 'abbvName': 'C. BREEN', 'fullName': 'Craig BREEN', 'code': 'BRE', 'licenseNumber': None}","{'personId': 5583, 'countryId': 107, 'country': {'countryId': 107, 'name': 'Ireland', 'iso2': 'IE', 'iso3': 'IRL'}, 'firstName': 'James', 'lastName': 'FULTON', 'abbvName': 'J. FULTON', 'fullName': 'James FULTON', 'code': 'FUL', 'licenseNumber': None}","{'manufacturerId': 33, 'name': 'Hyundai', 'logoFilename': 'hyundai'}","{'entrantId': 166, 'name': 'HYUNDAI SHELL MOBIS WORLD RALLY TEAM', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37212,354,552,5583,33,166,152,42,i20 N Rally1 HYBRID,6,,,M,P1,Entry,None
6,"{'personId': 548, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Esapekka', 'lastName': 'LAPPI', 'abbvName': 'E. LAPPI', 'fullName': 'Esapekka LAPPI', 'code': 'LAP', 'licenseNumber': None}","{'personId': 549, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Janne', 'lastName': 'FERM', 'abbvName': 'J. FERM', 'fullName': 'Janne FERM', 'code': 'FER', 'licenseNumber': None}","{'manufacturerId': 33, 'name': 'Hyundai', 'logoFilename': 'hyundai'}","{'entrantId': 166, 'name': 'HYUNDAI SHELL MOBIS WORLD RALLY TEAM', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37213,354,548,549,33,166,152,4,i20 N Rally1 HYBRID,7,,,M,P1,Entry,None
7,"{'personId': 2469, 'countryId': 76, 'country': {'countryId': 76, 'name': 'France', 'iso2': 'FR', 'iso3': 'FRA'}, 'firstName': 'Pierre-Louis', 'lastName': 'LOUBET', 'abbvName': 'P. LOUBET', 'fullName': 'Pierre-Louis LOUBET', 'code': 'LOU', 'licenseNumber': None}","{'personId': 4883, 'countryId': 22, 'country': {'countryId': 22, 'name': 'Belgium', 'iso2': 'BE', 'iso3': 'BEL'}, 'firstName': 'Nicolas', 'lastName': 'GILSOUL', 'abbvName': 'N. GILSOUL', 'fullName': 'Nicolas GILSOUL', 'code': 'GIL', 'licenseNumber': None}","{'manufacturerId': 26, 'name': 'Ford', 'logoFilename': 'ford'}","{'entrantId': 94, 'name': 'M-SPORT FORD WORLD RALLY TEAM', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37214,354,2469,4883,26,94,152,7,Puma Rally1 HYBRID,8,,,M,P1,Entry,None
8,"{'personId': 774, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Lorenzo', 'lastName': 'BERTELLI', 'abbvName': 'L. BERTELLI', 'fullName': 'Lorenzo BERTELLI', 'code': 'BER', 'licenseNumber': None}","{'personId': 2467, 'countryId': 110, 'country': {'countryId': 110, 'name': 'Italy', 'iso2': 'IT', 'iso3': 'ITA'}, 'firstName': 'Simone', 'lastName': 'SCATTOLIN', 'abbvName': 'S. SCATTOLIN', 'fullName': 'Simone SCATTOLIN', 'code': 'SCA', 'licenseNumber': None}","{'manufacturerId': 84, 'name': 'Toyota', 'logoFilename': 'toyota'}","{'entrantId': 91, 'name': 'TOYOTA GAZOO RACING WRT', 'logoFilename': None}","{'groupId': 152, 'name': 'Rally1'}","[{'eventClassId': 1427, 'eventId': 354, 'name': 'RC1'}]",[],37215,354,774,2467,84,91,152,37,GR Yaris Rally1 HYBRID,9,,,,P1,Entry,None
9,"{'personId': 5357, 'countryId': 215, 'country': {'countryId': 215, 'name': 'Sweden', 'iso2': 'SE', 'iso3': 'SWE'}, 'firstName': 'Oliver', 'lastName': 'SOLBERG', 'abbvName': 'O. SOLBERG', 'fullName': 'Oliver SOLBERG', 'code': 'SOL', 'licenseNumber': None}","{'personId': 4078, 'countryId': 235, 'country': {'countryId': 235, 'name': 'United Kingdom of Great Britain and Northern Ireland', 'iso2': 'GB', 'iso3': 'GBR'}, 'firstName': 'Elliott', 'lastName': 'EDMONDSON', 'abbvName': 'E. EDMONDSON', 'fullName': 'Elliott EDMONDSON', 'code': 'EDM', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 1290, 'name': 'OLIVER SOLBERG', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37216,354,5357,4078,77,1290,98,20,Fabia RS,10,,,WRC2 (D/C),P2,Entry,None
10,"{'personId': 582, 'countryId': 166, 'country': {'countryId': 166, 'name': 'Norway', 'iso2': 'NO', 'iso3': 'NOR'}, 'firstName': 'Ole Christian', 'lastName': 'VEIBY', 'abbvName': 'O. VEIBY', 'fullName': 'Ole Christian VEIBY', 'code': 'VEI', 'licenseNumber': None}","{'personId': 771, 'countryId': 166, 'country': {'countryId': 166, 'name': 'Norway', 'iso2': 'NO', 'iso3': 'NOR'}, 'firstName': 'Torstein', 'lastName': 'ERIKSEN', 'abbvName': 'T. ERIKSEN', 'fullName': 'Torstein ERIKSEN', 'code': 'ERI', 'licenseNumber': None}","{'manufacturerId': 87, 'name': 'Volkswagen', 'logoFilename': 'volkswagen'}","{'entrantId': 821, 'name': 'OLE CHRISTIAN VEIBY', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37217,354,582,771,87,821,98,21,Polo GTI,11,,,WRC2 (D/C),P2,Entry,None
11,"{'personId': 3049, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Emil', 'lastName': 'LINDHOLM', 'abbvName': 'E. LINDHOLM', 'fullName': 'Emil LINDHOLM', 'code': 'LIN', 'licenseNumber': None}","{'personId': 798, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Reeta', 'lastName': 'HÄMÄLÄINEN', 'abbvName': 'R. HÄMÄLÄINEN', 'fullName': 'Reeta HÄMÄLÄINEN', 'code': 'HÄM', 'licenseNumber': None}","{'manufacturerId': 77, 'name': 'Skoda', 'logoFilename': 'skoda'}","{'entrantId': 186, 'name': 'TOKSPORT WRT', 'logoFilename': None}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37218,354,3049,798,77,186,98,22,Fabia RS,12,,,WRC2 (T/D/C),P2,Entry,None
12,"{'personId': 566, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Teemu', 'lastName': 'SUNINEN', 'abbvName': 'T. SUNINEN', 'fullName': 'Teemu SUNINEN', 'code': 'SUN', 'licenseNumber': None}","{'personId': 567, 'countryId': 75, 'country': {'countryId': 75, 'name': 'Finland', 'iso2': 'FI', 'iso3': 'FIN'}, 'firstName': 'Mikko', 'lastName': 'MARKKULA', 'abbvName': 'M. MARKKULA', 'fullName': 'Mikko MARKKULA', 'code': 'MAR', 'licenseNumber': None}","{'manufacturerId': 33, 'name': 'Hyundai', 'logoFilename': 'hyundai'}","{'entrantId': 1357, 'name': 'HYUNDAI MOTORSPORT N', 'logoFilename': ''}","{'groupId': 98, 'name': 'Rally2'}","[{'eventClassId': 1428, 'eventId': 354, 'name': 'RC2'}]",[],37219,354,566,567,33,1357,98,23,i20 N,13,,,WRC2 (T/D/C),P2,Entry,None
