,entryId,driverId,codriverId,manufacturerId,vehicleModel,eligibility,classname,manufacturer,entrantname,groupname,drivername,driverfullname,codrivername,codriverfullname,code
0,36941,700,587,84,GR Yaris Rally1 HYBRID,M,RC1,Toyota,TOYOTA GAZOO RACING WRT,Rally1,K. ROVANPERÄ,Kalle ROVANPERÄ,J. HALTTUNEN,Jonne HALTTUNEN,ROV
1,36942,524,525,26,Puma Rally1 HYBRID,M,RC1,Ford,M-SPORT FORD WORLD RALLY TEAM,Rally1,O. TÄNAK,Ott TÄNAK,M. JÄRVEOJA,Martin JÄRVEOJA,TÄN
2,36943,762,851,33,i20 N Rally1 HYBRID,M,RC1,Hyundai,HYUNDAI SHELL MOBIS WORLD RALLY TEAM,Rally1,T. NEUVILLE,Thierry NEUVILLE,M. WYDAEGHE,Martijn WYDAEGHE,NEU
3,36944,534,553,84,GR Yaris Rally1 HYBRID,M,RC1,Toyota,TOYOTA GAZOO RACING WRT,Rally1,E. EVANS,Elfyn EVANS,S. MARTIN,Scott MARTIN,EVA
4,36945,785,5507,84,GR Yaris Rally1 HYBRID,,RC1,Toyota,TOYOTA GAZOO RACING WRT,Rally1,T. KATSUTA,Takamoto KATSUTA,A. JOHNSTON,Aaron JOHNSTON,KAT
5,36946,670,589,84,GR Yaris Rally1 HYBRID,M,RC1,Toyota,TOYOTA GAZOO RACING WRT,Rally1,S. OGIER,Sébastien OGIER,V. LANDAIS,Vincent LANDAIS,OGI
6,36947,542,3150,33,i20 N Rally1 HYBRID,M,RC1,Hyundai,HYUNDAI SHELL MOBIS WORLD RALLY TEAM,Rally1,D. SORDO,Daniel SORDO,C. CARRERA,Candido CARRERA,SOR
7,36948,548,549,33,i20 N Rally1 HYBRID,M,RC1,Hyundai,HYUNDAI SHELL MOBIS WORLD RALLY TEAM,Rally1,E. LAPPI,Esapekka LAPPI,J. FERM,Janne FERM,LAP
8,36949,2469,4883,26,Puma Rally1 HYBRID,M,RC1,Ford,M-SPORT FORD WORLD RALLY TEAM,Rally1,P. LOUBET,Pierre-Louis LOUBET,N. GILSOUL,Nicolas GILSOUL,LOU
9,36950,3125,3126,26,Puma Rally1 HYBRID,,RC1,Ford,M-SPORT FORD WORLD RALLY TEAM,Rally1,J. SERDERIDIS,Jourdan SERDERIDIS,F. MICLOTTE,Frédéric MICLOTTE,SER
10,36951,4676,4945,26,Fiesta MkII,WRC2 (T/D/C),RC2,Ford,M-SPORT FORD WORLD RALLY TEAM,Rally2,A. FOURMAUX,Adrien FOURMAUX,A. CORIA,Alexandre CORIA,FOU
11,36952,4727,5816,13,C3,WRC2 (D/C),RC2,Citroen,PH SPORT,Rally2,Y. ROSSEL,Yohan ROSSEL,A. DUNAND,Arnaud DUNAND,ROS
12,36953,2092,4981,13,C3,WRC2 (D/C),RC2,Citroen,STÉPHANE LEFEBVRE,Rally2,S. LEFEBVRE,Stéphane LEFEBVRE,A. MALFOY,Andy MALFOY,LEF
13,36954,5357,4078,77,Fabia RS,,RC2,Skoda,OLIVER SOLBERG,Rally2,O. SOLBERG,Oliver SOLBERG,E. EDMONDSON,Elliott EDMONDSON,SOL
14,36955,4759,5634,77,Fabia RS,WRC2 (T/DC/CC),RC2,Skoda,TOKSPORT WRT 2,Rally2,N. GRYAZIN,Nikolay GRYAZIN,K. ALEKSANDROV,Konstantin ALEKSANDROV,GRY
15,36956,5279,571,26,Fiesta MkII,WRC2 (T/DC/CC),RC2,Ford,M-SPORT FORD WORLD RALLY TEAM,Rally2,G. MUNSTER,Grégoire MUNSTER,L. LOUKA,Louis LOUKA,MUN
16,36957,1253,10317,77,Fabia RS,WRC2 (T/DC/CC),RC2,Skoda,TOKSPORT WRT 2,Rally2,M. BULACIA,Marco BULACIA,A. CORONADO,Axel CORONADO,MBU
17,36958,8132,7168,77,Fabia RS,WRC2 (DC/CC),RC2,Skoda,ERIK CAIS,Rally2,E. CAIS,Erik CAIS,P. TESÍNSKÝ,Petr TESÍNSKÝ,CAI
18,36959,3230,7609,77,Fabia Evo,WRC2 (DC/CC),RC2,Skoda,CHRISTOPHER INGRAM,Rally2,C. INGRAM,Christopher INGRAM,C. DREW,Craig DREW,ING
19,36960,4777,5648,13,C3,WRC2 (DC/CC),RC2,Citroen,SEAN JOHNSTON,Rally2,S. JOHNSTON,Sean JOHNSTON,A. KIHURANI,Alexander KIHURANI,JOH
20,36961,5280,3052,77,Fabia RS,,RC2,Skoda,TOKSPORT WRT,Rally2,S. PAJARI,Sami PAJARI,E. MÄLKÖNEN,Enni MÄLKÖNEN,PAJ
21,36962,5791,4076,33,i20 N,WRC2 (T/DC/CC),RC2,Hyundai,MOTORSPORT IRELAND RALLY ACADEMY,Rally2,J. MCERLEAN,Joshua MCERLEAN,J. ROWAN,John ROWAN,MCE
22,36963,7170,4097,33,i20 N,WRC2 (T/DC/CC),RC2,Hyundai,MOTORSPORT IRELAND RALLY ACADEMY,Rally2,W. CREIGHTON,William CREIGHTON,L. REGAN,Liam REGAN,CRE
23,36964,7289,2170,33,i20 N,WRC2 (DC/CC),RC2,Hyundai,PEPE LÓPEZ,Rally2,P. LÓPEZ,Pepe LÓPEZ,B. ROZADA,Borja ROZADA,LÓP
24,36965,7307,5490,13,C3,WRC2 (DC/CC),RC2,Citroen,ALEJANDRO CACHÓN,Rally2,A. CACHÓN,Alejandro CACHÓN,A. LÓPEZ,Alejandro LÓPEZ,CAC
25,36966,1824,1825,77,Fabia RS,WRC2 (DCM/CC),RC2,Skoda,MAURO MIELE,Rally2,M. MIELE,Mauro MIELE,L. BELTRAME,Luca BELTRAME,MIE
26,36967,8364,12338,77,Fabia RS,WRC2 (DM/C),RC2,Skoda,FRANÇOIS DELECOUR,Rally2,F. DELECOUR,François DELECOUR,S. DE CASTELLI,Sabrina DE CASTELLI,DEL
27,36968,584,585,33,i20 N,WRC2 (D/C),RC2,Hyundai,OLIVIER BURRI,Rally2,O. BURRI,Olivier BURRI,A. LEVRATTI,Anderson LEVRATTI,BUR
28,36969,5873,3257,77,Fabia Evo,WRC2 (DM/C),RC2,Skoda,JOHANNES KEFERBÖCK,Rally2,J. KEFERBÖCK,Johannes KEFERBÖCK,I. MINOR,Ilka MINOR,KEF
29,36970,5817,5805,77,Fabia Evo,WRC2 (D/C),RC2,Skoda,LORENZO BONTEMPELLI,Rally2,L. BONTEMPELLI,Lorenzo BONTEMPELLI,G. PINA,Giovanni PINA,BON
30,36971,8790,8791,13,C3,WRC2 (DM/C),RC2,Citroen,DANIEL ALONSO,Rally2,D. ALONSO,Daniel ALONSO,A. PÉREZ,Adrián PÉREZ,ALO
31,36972,600,12339,13,C3,WRC2 (DM/CM),RC2,Citroen,EAMONN BOLAND,Rally2,E. BOLAND,Eamonn BOLAND,M. ,MJ ,BOL
32,36973,8359,8360,33,i20 N,WRC2 (DM/CM),RC2,Hyundai,FRÉDÉRIC ROSATI,Rally2,F. ROSATI,Frédéric ROSATI,P. MARCHETTO,Philippe MARCHETTO,ROS
33,36974,4706,12340,77,Fabia Evo,WRC2 (DM/C),RC2,Skoda,SILVANO PATERA,Rally2,S. PATERA,Silvano PATERA,S. TIRABOSCHI,Stefano TIRABOSCHI,PAT
34,36975,12341,12342,77,Fabia Evo,WRC2 (DC/CC),RC2,Skoda,SIMONE NIBOLI,Rally2,S. NIBOLI,Simone NIBOLI,B. BRUNETTI,Battista BRUNETTI,NIB
35,36976,8279,4723,77,Fabia,WRC2 (DC/CC),RC2,Skoda,FILIPPO MARCHINO,Rally2,F. MARCHINO,Filippo MARCHINO,P. OMETTO,Pietro Elia OMETTO,MAR
36,36977,5466,5219,77,Fabia Evo,WRC2 (DCM/CC),RC2,Skoda,FABRIZIO ARENGI,Rally2,F. ARENGI,Fabrizio ARENGI,M. BOSI,Massimiliano BOSI,ARE
37,36978,12343,12344,77,Fabia Evo,WRC2 (DC/CC),RC2,Skoda,CHRISTIAN MERLI,Rally2,C. MERLI,Christian MERLI,M. ZORTEA,Marco ZORTEA,MER
38,36979,3165,7813,26,Fiesta,WRC2 (DCM/CCM),RC2,Ford,HENK VOSSEN,Rally2,H. VOSSEN,Henk VOSSEN,A. HULZEBOS,Annemieke HULZEBOS,VOS
39,36980,12345,12346,87,Polo GTI,,RC2,Volkswagen,JONATHAN HIRSCHI,Rally2,J. HIRSCHI,Jonathan HIRSCHI,M. VOLLUZ,Michaël VOLLUZ,HIR
40,36981,4695,2506,77,Fabia Evo,,RC2,Skoda,MATTEO GAMBA,Rally2,M. GAMBA,Matteo GAMBA,N. GONELLA,Nicolò GONELLA,GAM
41,36982,4698,555,13,C3,,RC2,Citroen,ALESSANDRO GINO,Rally2,A. GINO,Alessandro GINO,D. MICHI,Daniele MICHI,GIN
42,36983,620,7709,13,C3,,RC2,Citroen,PHILIPPE BAFFOUN,Rally2,P. BAFFOUN,Philippe BAFFOUN,C. QUARTINI,Charlyne QUARTINI,BAF
43,36984,5943,5944,77,Fabia,,RC2,Skoda,YANIS DESANGLES,Rally2,Y. DESANGLES,Yanis DESANGLES,N. THERON,Nicolas THERON,DES
44,36985,12347,1837,77,Fabia Evo,,RC2,Skoda,JEAN CHARLES ALBERTINI,Rally2,J. ALBERTINI,Jean Charles ALBERTINI,P. CHIAPPE,Patrick CHIAPPE,ALB
45,36986,8376,8377,77,Fabia Evo,,RC2,Skoda,LUC PISTACHI,Rally2,L. PISTACHI,Luc PISTACHI,L. AUTHIER,Laëtitia AUTHIER,PIS
46,36987,5807,12348,77,Fabia,,RC2,Skoda,ROMAIN HAUT-LABOURDETTE,Rally2,R. HAUT-LABOURDETTE,Romain HAUT-LABOURDETTE,F. TARDITO,Fabien TARDITO,HAU
47,36988,12349,7284,77,Fabia Evo,,RC2,Skoda,BRUNO RIBERI,Rally2,B. RIBERI,Bruno RIBERI,F. HAUT-LABOURDETTE,Florian HAUT-LABOURDETTE,RIB
48,36989,4986,4987,77,Fabia,,RC2,Skoda,PIERRE TANCI,Rally2,P. TANCI,Pierre TANCI,S. MALET,Sébastien MALET,TAN
49,36990,5537,12350,77,Fabia Evo,(DM),RC2,Skoda,ZOLTÁN LÁSZLÓ,Rally2,Z. LÁSZLÓ,Zoltán LÁSZLÓ,G. ZSIROS,Gábor ZSIROS,LÁS
50,36991,8374,8375,87,Polo GTI,,RC2,Volkswagen,PIERRE PERGOLA,Rally2,P. PERGOLA,Pierre PERGOLA,F. CORONA,Fabrice CORONA,PER
51,36992,12351,4954,97,A110,,RGT,Alpine,RICHARD FRAU,RGT,R. FRAU,Richard FRAU,S. MARQUEZ,Stephane MARQUEZ,FRA
52,36993,8393,4934,97,A110,,RGT,Alpine,ERIC ROYERE,RGT,E. ROYERE,Eric ROYERE,G. DINI,Gilbert DINI,ROY
53,36994,12352,12353,97,A110,,RGT,Alpine,GRÉGORY FONTALBA,RGT,G. FONTALBA,Grégory FONTALBA,S. HERMET,Stéphan HERMET,FON
54,36995,12354,12355,97,A110,,RGT,Alpine,DAVID FERRARO,RGT,D. FERRARO,David FERRARO,M. CORNEGLIO,Michel CORNEGLIO,FER
55,36996,12356,12357,97,A110,,RGT,Alpine,LOÏC PANAGIOTIS,RGT,L. PANAGIOTIS,Loïc PANAGIOTIS,C. GODDI,Caroline GODDI,PAN
56,36997,10575,12358,65,208 Rally4,,RC4,Peugeot,WOLFGANG IRLACHER,Rally4,W. IRLACHER,Wolfgang IRLACHER,E. IRLACHER,Elke IRLACHER,IRL
57,36998,12359,12360,65,208 Rally4,,RC4,Peugeot,GRÉGORY DAL ZOTTO,Rally4,G. DAL ZOTTO,Grégory DAL ZOTTO,H. DUBREUIL,Hervé DUBREUIL,DAL
58,36999,12361,7180,65,208 Rally4,,RC4,Peugeot,BAUDOUIN BAUGÉ,Rally4,B. BAUGÉ,Baudouin BAUGÉ,N. BLANC,Nicolas BLANC,BAU
59,37000,5980,5981,26,Fiesta,,RC4,Ford,JÉRÉMIE MALLARD,Rally4 - R2,J. MALLARD,Jérémie MALLARD,A. MAREST-CECCALDI,Alexis MAREST-CECCALDI,MAL
60,37001,12362,12363,62,Corsa Rally4,,RC4,Opel,MASSIMILIANO PEDALÀ,Rally4,M. PEDALÀ,Massimiliano PEDALÀ,D. PICENO,Denis PICENO,PED
61,37002,12364,12365,65,208 Rally4,,RC4,Peugeot,MATTEO FONTANA,Rally4,M. FONTANA,Matteo FONTANA,A. ARNABOLDI,Alessandro ARNABOLDI,FON
62,37003,2510,5240,65,208 Rally4,,RC4,Peugeot,SEBASTIANO CIATO,Rally4,S. CIATO,Sebastiano CIATO,A. BUDOIA,Andrea BUDOIA,CIA
63,37004,12366,12367,65,208 Rally4,,RC4,Peugeot,MICKAËL PRÉVALET,Rally4,M. PRÉVALET,Mickaël PRÉVALET,J. COURTET,Jofrey COURTET,PRÉ
64,37005,12368,12369,65,208,,RC4,Peugeot,GIORGIO MARAZZATO,Rally4 - R2,G. MARAZZATO,Giorgio MARAZZATO,E. SOMMARIVA,Elisa SOMMARIVA,MAR
65,37006,5984,8387,65,208 Rally4,,RC4,Peugeot,GHJUVANNI ROSSI,Rally4,G. ROSSI,Ghjuvanni ROSSI,M. MARTINI,Maxime MARTINI,ROS
66,37007,4738,4739,65,208 Rally4,,RC4,Peugeot,GILLES MICHELLIER,Rally4,G. MICHELLIER,Gilles MICHELLIER,C. RICHARD,Christophe RICHARD,MIC
67,37008,5959,12370,69,Clio RS,,RC4,Renault,JÉRÔME AYMARD,R3T,J. AYMARD,Jérôme AYMARD,S. AYMARD,Sandrine AYMARD,AYM
68,37009,12371,5977,65,208 Rally4,,RC4,Peugeot,JEAN-PAUL PALMERO,Rally4,J. PALMERO,Jean-Paul PALMERO,M. PASTORINO,Mattia PASTORINO,PAL
69,37010,12372,12373,69,Clio RS Line,,RC5,Renault,JÉRÉMY PRAT,Rally5,J. PRAT,Jérémy PRAT,Y. SEMETE,Yves SEMETE,PRA
70,37011,614,615,69,Clio RS Line,,RC5,Renault,LILIAN VIALLE,Rally5,L. VIALLE,Lilian VIALLE,M. GHIRARDELLO,Manuel GHIRARDELLO,VIA
71,37012,12374,12375,69,Clio RS Line,,RC5,Renault,NICOLAS RESSEGAIRE,Rally5,N. RESSEGAIRE,Nicolas RESSEGAIRE,M. MICHELI,Marina MICHELI,RES
72,37013,668,669,69,Clio RS Line,,RC5,Renault,CHRISTOPHE BERARD,Rally5,C. BERARD,Christophe BERARD,C. BERNABO,Christophe BERNABO,BER
73,37014,660,4729,69,Clio RS Line,,RC5,Renault,MARC DESSI,Rally5,M. DESSI,Marc DESSI,P. DESSI,Pamela DESSI,DES
74,37015,12376,12377,69,Clio RS Line,,RC5,Renault,JULIEN CHARNAY,Rally5,J. CHARNAY,Julien CHARNAY,M. GOMEZ,Maxime GOMEZ,CHA
